
Playing Time	Performance	Expected	Progression	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	xG	npxG	xAG	npxG+xAG	PrgC	PrgP	PrgR	Gls	Ast	G+A	G-PK	G+A-PK	xG	xAG	xG+xAG	npxG	npxG+xAG	Matches
1	Abner	br BRA	DF	Juventude	19	2004	3	1	108	1.2	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
2	Nicolás Acevedo	uy URU	MF,DF	Bahia	24	1999	8	1	268	3.0	0	0	0	0	0	0	2	0	0.1	0.1	0.2	0.3	5	19	8	0.00	0.00	0.00	0.00	0.00	0.04	0.07	0.11	0.04	0.11	Matches
3	Luiz Adriano	br BRA	FW	Vitória	36	1987	8	1	202	2.2	0	1	1	0	0	0	1	0	0.1	0.1	0.1	0.2	1	4	9	0.00	0.45	0.45	0.00	0.45	0.06	0.04	0.09	0.06	0.09	Matches
4	Adriel	br BRA	GK	Bahia	23	2001	4	3	334	3.7	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
5	Adryelson	br BRA	DF	Botafogo (RJ)	25	1998	7	6	580	6.4	1	0	1	1	0	0	0	0	0.2	0.2	0.3	0.5	2	22	0	0.16	0.00	0.16	0.16	0.16	0.03	0.05	0.08	0.03	0.08	Matches
6	Adson	br BRA	FW	Vasco da Gama	23	2000	20	14	1,224	13.6	2	1	3	2	0	0	2	0	1.5	1.5	2.6	4.1	42	72	80	0.15	0.07	0.22	0.15	0.22	0.11	0.19	0.30	0.11	0.30	Matches
7	Braian Aguirre	ar ARG	DF	Internacional	23	2000	1	1	90	1.0	0	0	0	0	0	0	0	0	0.1	0.1	0.3	0.4	0	7	4	0.00	0.00	0.00	0.00	0.00	0.06	0.31	0.37	0.06	0.37	Matches
8	Lucas Alario	ar ARG	FW,MF	Internacional	31	1992	15	6	638	7.1	0	0	0	0	0	0	4	0	1.9	1.9	0.1	2.0	0	7	22	0.00	0.00	0.00	0.00	0.00	0.27	0.02	0.29	0.27	0.29	Matches
9	Carlos Alberto	br BRA	FW	Botafogo (RJ)	21	2002	7	2	212	2.4	1	0	1	1	0	0	0	0	1.6	1.6	0.1	1.7	7	4	7	0.42	0.00	0.42	0.42	0.42	0.67	0.05	0.72	0.67	0.72	Matches
10	Yuri Alberto	br BRA	FW	Corinthians	22	2001	29	25	2,197	24.4	15	4	19	12	3	3	6	1	10.7	8.3	1.9	10.2	52	31	172	0.61	0.16	0.78	0.49	0.66	0.44	0.08	0.51	0.34	0.42	Matches
